,name,colors,manaValue,manaCost,power,toughness,loyalty,text,rarity,keywords,supertypes,types,subtypes
0,Aerial Modification,W,5.0,{4}{W},,,,"Enchant creature or Vehicle
As long as enchanted permanent is a Vehicle, it's a creature in addition to its other types.
Enchanted creature gets +2/+2 and has flying.",uncommon,Enchant,,Enchantment,Aura
1,Aeronaut Admiral,W,4.0,{3}{W},3.0,1.0,,"Flying
Vehicles you control have flying.",uncommon,Flying,,Creature,"Human, Pilot"
2,Aether Inspector,W,4.0,{3}{W},2.0,3.0,,"Vigilance
When Aether Inspector enters the battlefield, you get {E}{E} (two energy counters).
Whenever Aether Inspector attacks, you may pay {E}{E}. If you do, create a 1/1 colorless Servo artifact creature token.",common,Vigilance,,Creature,"Dwarf, Artificer"
3,Aethergeode Miner,W,2.0,{1}{W},3.0,1.0,,"Whenever Aethergeode Miner attacks, you get {E}{E} (two energy counters).
Pay {E}{E}: Exile Aethergeode Miner, then return it to the battlefield under its owner's control.",rare,,,Creature,"Dwarf, Scout"
4,Airdrop Aeronauts,W,5.0,{3}{W}{W},4.0,3.0,,"Flying
Revolt — When Airdrop Aeronauts enters the battlefield, if a permanent you controlled left the battlefield this turn, you gain 5 life.",uncommon,"Flying, Revolt",,Creature,"Dwarf, Scout"
5,Alley Evasion,W,1.0,{W},,,,"Choose one —
• Target creature you control gets +1/+2 until end of turn.
• Return target creature you control to its owner's hand.",common,,,Instant,
6,Audacious Infiltrator,W,2.0,{1}{W},3.0,1.0,,Audacious Infiltrator can't be blocked by artifact creatures.,common,,,Creature,"Dwarf, Rogue"
7,Bastion Enforcer,W,3.0,{2}{W},3.0,2.0,,,common,,,Creature,"Dwarf, Soldier"
8,Call for Unity,W,5.0,{3}{W}{W},,,,"Revolt — At the beginning of your end step, if a permanent you controlled left the battlefield this turn, put a unity counter on Call for Unity.
Creatures you control get +1/+1 for each unity counter on Call for Unity.",rare,Revolt,,Enchantment,
9,Caught in the Brights,W,3.0,{2}{W},,,,"Enchant creature
Enchanted creature can't attack or block.
When a Vehicle you control attacks, exile enchanted creature.",common,Enchant,,Enchantment,Aura
10,Consulate Crackdown,W,5.0,{3}{W}{W},,,,"When Consulate Crackdown enters the battlefield, exile all artifacts your opponents control until Consulate Crackdown leaves the battlefield.",rare,,,Enchantment,
11,Conviction,W,2.0,{1}{W},,,,"Enchant creature
Enchanted creature gets +1/+3.
{W}: Return Conviction to its owner's hand.",common,Enchant,,Enchantment,Aura
12,Countless Gears Renegade,W,2.0,{1}{W},2.0,2.0,,"Revolt — When Countless Gears Renegade enters the battlefield, if a permanent you controlled left the battlefield this turn, create a 1/1 colorless Servo artifact creature token.",common,Revolt,,Creature,"Dwarf, Artificer"
13,Dawnfeather Eagle,W,5.0,{4}{W},3.0,3.0,,"Flying
When Dawnfeather Eagle enters the battlefield, creatures you control get +1/+1 and gain vigilance until end of turn.",common,Flying,,Creature,Bird
14,Deadeye Harpooner,W,3.0,{2}{W},2.0,2.0,,"Revolt — When Deadeye Harpooner enters the battlefield, if a permanent you controlled left the battlefield this turn, destroy target tapped creature an opponent controls.",uncommon,Revolt,,Creature,"Dwarf, Warrior"
15,Decommission,W,3.0,{2}{W},,,,"Destroy target artifact or enchantment.
Revolt — If a permanent you controlled left the battlefield this turn, you gain 3 life.",common,Revolt,,Instant,
16,Deft Dismissal,W,4.0,{3}{W},,,,"Deft Dismissal deals 3 damage divided as you choose among one, two, or three target attacking or blocking creatures.",uncommon,,,Instant,
17,Exquisite Archangel,W,7.0,{5}{W}{W},5.0,5.0,,"Flying
If you would lose the game, instead exile Exquisite Archangel and your life total becomes equal to your starting life total.",mythic,Flying,,Creature,Angel
18,Felidar Guardian,W,4.0,{3}{W},1.0,4.0,,"When Felidar Guardian enters the battlefield, you may exile another target permanent you control, then return that card to the battlefield under its owner's control.",uncommon,,,Creature,"Cat, Beast"
19,Ghirapur Osprey,W,3.0,{2}{W},2.0,2.0,,Flying,common,Flying,,Creature,Bird
20,Restoration Specialist,W,2.0,{1}{W},2.0,1.0,,"{W}, Sacrifice Restoration Specialist: Return up to one target artifact card and up to one target enchantment card from your graveyard to your hand.",uncommon,,,Creature,"Dwarf, Artificer"
21,Solemn Recruit,W,3.0,{1}{W}{W},2.0,2.0,,"Double strike
Revolt — At the beginning of your end step, if a permanent you controlled left the battlefield this turn, put a +1/+1 counter on Solemn Recruit.",rare,"Double strike, Revolt",,Creature,"Dwarf, Warrior"
22,"Sram, Senior Edificer",W,2.0,{1}{W},2.0,2.0,,"Whenever you cast an Aura, Equipment, or Vehicle spell, draw a card.",rare,,Legendary,Creature,"Dwarf, Advisor"
23,Sram's Expertise,W,4.0,{2}{W}{W},,,,"Create three 1/1 colorless Servo artifact creature tokens.
You may cast a spell with mana value 3 or less from your hand without paying its mana cost.",rare,,,Sorcery,
24,Thopter Arrest,W,3.0,{2}{W},,,,"When Thopter Arrest enters the battlefield, exile target artifact or creature an opponent controls until Thopter Arrest leaves the battlefield.",uncommon,,,Enchantment,
25,Aether Swooper,U,2.0,{1}{U},1.0,2.0,,"Flying
When Aether Swooper enters the battlefield, you get {E}{E} (two energy counters).
Whenever Aether Swooper attacks, you may pay {E}{E}. If you do, create a 1/1 colorless Servo artifact creature token.",common,Flying,,Creature,"Vedalken, Artificer"
26,Aethertide Whale,U,6.0,{4}{U}{U},6.0,4.0,,"Flying
When Aethertide Whale enters the battlefield, you get {E}{E}{E}{E}{E}{E} (six energy counters).
Pay {E}{E}{E}{E}: Return Aethertide Whale to its owner's hand.",rare,Flying,,Creature,Whale
27,"Baral, Chief of Compliance",U,2.0,{1}{U},1.0,3.0,,"Instant and sorcery spells you cast cost {1} less to cast.
Whenever a spell or ability you control counters a spell, you may draw a card. If you do, discard a card.",rare,,Legendary,Creature,"Human, Wizard"
28,Baral's Expertise,U,5.0,{3}{U}{U},,,,"Return up to three target artifacts and/or creatures to their owners' hands.
You may cast a spell with mana value 4 or less from your hand without paying its mana cost.",rare,,,Sorcery,
29,Bastion Inventor,U,6.0,{5}{U},4.0,4.0,,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
Hexproof (This creature can't be the target of spells or abilities your opponents control.)",common,"Hexproof, Improvise",,Creature,"Vedalken, Artificer"
30,Disallow,U,3.0,{1}{U}{U},,,,"Counter target spell, activated ability, or triggered ability. (Mana abilities can't be targeted.)",rare,,,Instant,
31,Dispersal Technician,U,5.0,{4}{U},3.0,2.0,,"When Dispersal Technician enters the battlefield, you may return target artifact to its owner's hand.",common,,,Creature,"Vedalken, Artificer"
32,Efficient Construction,U,4.0,{3}{U},,,,"Whenever you cast an artifact spell, create a 1/1 colorless Thopter artifact creature token with flying.",uncommon,,,Enchantment,
33,Hinterland Drake,U,3.0,{2}{U},2.0,3.0,,"Flying
Hinterland Drake can't block artifact creatures.",common,Flying,,Creature,Drake
34,Ice Over,U,2.0,{1}{U},,,,"Enchant artifact or creature
Enchanted permanent doesn't untap during its controller's untap step.",common,Enchant,,Enchantment,Aura
