,name,colors,manaValue,manaCost,power,toughness,loyalty,text,rarity,keywords,supertypes,types
0,"Karn, Scion of Urza",,4.0,{4},,,5.0,"[+1]: Reveal the top two cards of your library. An opponent chooses one of them. Put that card into your hand and exile the other with a silver counter on it.
[−1]: Put a card you own with a silver counter on it from exile into your hand.
[−2]: Create a 0/0 colorless Construct artifact creature token with ""This creature gets +1/+1 for each artifact you control.""",mythic,,Legendary,Planeswalker
1,Adamant Will,W,2.0,{1}{W},,,,"Target creature gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",common,,,Instant
2,Aven Sentry,W,4.0,{3}{W},3.0,2.0,,Flying,common,Flying,,Creature
3,"Baird, Steward of Argive",W,4.0,{2}{W}{W},2.0,4.0,,"Vigilance
Creatures can't attack you or planeswalkers you control unless their controller pays {1} for each of those creatures.",uncommon,Vigilance,Legendary,Creature
4,Benalish Honor Guard,W,2.0,{1}{W},2.0,2.0,,Benalish Honor Guard gets +1/+0 for each legendary creature you control.,common,,,Creature
5,Benalish Marshal,W,3.0,{W}{W}{W},3.0,3.0,,Other creatures you control get +1/+1.,rare,,,Creature
6,Blessed Light,W,5.0,{4}{W},,,,Exile target creature or enchantment.,common,,,Instant
7,Board the Weatherlight,W,2.0,{1}{W},,,,"Look at the top five cards of your library. You may reveal a historic card from among them and put it into your hand. Put the rest on the bottom of your library in a random order. (Artifacts, legendaries, and Sagas are historic.)",uncommon,,,Sorcery
8,Call the Cavalry,W,4.0,{3}{W},,,,Create two 2/2 white Knight creature tokens with vigilance.,common,,,Sorcery
9,Charge,W,1.0,{W},,,,Creatures you control get +1/+1 until end of turn.,common,,,Instant
10,D'Avenant Trapper,W,3.0,{2}{W},3.0,2.0,,"Whenever you cast a historic spell, tap target creature an opponent controls. (Artifacts, legendaries, and Sagas are historic.)",common,,,Creature
11,"Danitha Capashen, Paragon",W,3.0,{2}{W},2.0,2.0,,"First strike, vigilance, lifelink
Aura and Equipment spells you cast cost {1} less to cast.",uncommon,"First strike, Lifelink, Vigilance",Legendary,Creature
12,Daring Archaeologist,W,4.0,{3}{W},3.0,3.0,,"When Daring Archaeologist enters the battlefield, you may return target artifact card from your graveyard to your hand.
Whenever you cast a historic spell, put a +1/+1 counter on Daring Archaeologist. (Artifacts, legendaries, and Sagas are historic.)",rare,,,Creature
13,Dauntless Bodyguard,W,1.0,{W},2.0,1.0,,"As Dauntless Bodyguard enters the battlefield, choose another creature you control.
Sacrifice Dauntless Bodyguard: The chosen creature gains indestructible until end of turn.",uncommon,,,Creature
14,Dub,W,3.0,{2}{W},,,,"Enchant creature
Enchanted creature gets +2/+2, has first strike, and is a Knight in addition to its other types. (It deals combat damage before creatures without first strike.)",common,Enchant,,Enchantment
