,name,colors,manaValue,manaCost,power,toughness,loyalty,text,rarity,keywords,supertypes,types,subtypes
0,Ancestral Katana,W,2.0,{1}{W},,,,"Whenever a Samurai or Warrior you control attacks alone, you may pay {1}. When you do, attach Ancestral Katana to it.
Equipped creature gets +2/+1.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)",common,Equip,,Artifact,Equipment
1,"Ao, the Dawn Sky",W,5.0,{3}{W}{W},5.0,4.0,,"Flying, vigilance
When Ao, the Dawn Sky dies, choose one —
• Look at the top seven cards of your library. Put any number of nonland permanent cards with total mana value 4 or less from among them onto the battlefield. Put the rest on the bottom of your library in a random order.
• Put two +1/+1 counters on each permanent you control that's a creature or Vehicle.",mythic,"Flying, Vigilance",Legendary,Creature,"Dragon, Spirit"
2,Banishing Slash,W,2.0,{W}{W},,,,"Destroy up to one target artifact, enchantment, or tapped creature. Then if you control an artifact and an enchantment, create a 2/2 white Samurai creature token with vigilance.",uncommon,,,Sorcery,
3,Befriending the Moths,W,4.0,{3}{W},,,,"(As this Saga enters and after your draw step, add a lore counter.)
I, II — Target creature you control gets +1/+1 and gains flying until end of turn.
III — Exile this Saga, then return it to the battlefield transformed under your control.",common,"Flying, Transform",,Enchantment,Saga
4,Imperial Moth,W,4.0,,2.0,4.0,,Flying,common,Flying,,"Enchantment, Creature",Insect
5,Blade-Blizzard Kitsune,W,3.0,{2}{W},2.0,2.0,,"Ninjutsu {3}{W} ({3}{W}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
Double strike",uncommon,"Double strike, Ninjutsu",,Creature,"Fox, Ninja"
6,Born to Drive,W,3.0,{2}{W},,,,"Enchant artifact or creature
As long as enchanted permanent is a creature, it gets +1/+1 for each creature and/or Vehicle you control.
Channel — {2}{W}, Discard Born to Drive: Create two 1/1 colorless Pilot creature tokens with ""This creature crews Vehicles as though its power were 2 greater.""",uncommon,"Channel, Enchant",,Enchantment,Aura
7,Brilliant Restoration,W,7.0,{3}{W}{W}{W}{W},,,,Return all artifact and enchantment cards from your graveyard to the battlefield.,rare,,,Sorcery,
8,Cloudsteel Kirin,W,3.0,{2}{W},3.0,2.0,,"Flying
Equipped creature has flying and ""You can't lose the game and your opponents can't win the game.""
Reconfigure {5} ({5}: Attach to target creature you control; or unattach from a creature. Reconfigure only as a sorcery. While attached, this isn't a creature.)",rare,"Flying, Reconfigure",,"Artifact, Creature","Equipment, Kirin"
9,Dragonfly Suit,W,3.0,{2}{W},3.0,2.0,,"Flying
Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",common,"Crew, Flying",,Artifact,Vehicle
10,Eiganjo Exemplar,W,2.0,{1}{W},2.0,1.0,,"Whenever a Samurai or Warrior you control attacks alone, it gets +1/+1 until end of turn.",common,,,"Enchantment, Creature","Human, Samurai"
11,Era of Enlightenment,W,2.0,{1}{W},,,,"(As this Saga enters and after your draw step, add a lore counter.)
I — Scry 2.
II — You gain 2 life.
III — Exile this Saga, then return it to the battlefield transformed under your control.",common,"Scry, Transform",,Enchantment,Saga
12,Hand of Enlightenment,W,2.0,,2.0,2.0,,First strike,common,First strike,,"Enchantment, Creature","Human, Monk"
13,The Fall of Lord Konda,W,3.0,{2}{W},,,,"(As this Saga enters and after your draw step, add a lore counter.)
I — Exile target creature an opponent controls with mana value 4 or greater.
II — Each player gains control of all permanents they own.
III — Exile this Saga, then return it to the battlefield transformed under your control.",uncommon,Transform,,Enchantment,Saga
14,Fragment of Konda,W,3.0,,1.0,3.0,,"Defender
When Fragment of Konda dies, draw a card.",uncommon,Defender,,"Enchantment, Creature","Human, Noble"
15,Farewell,W,6.0,{4}{W}{W},,,,"Choose one or more —
• Exile all artifacts.
• Exile all creatures.
• Exile all enchantments.
• Exile all graveyards.",rare,,,Sorcery,
16,Go-Shintai of Shared Purpose,W,4.0,{3}{W},1.0,3.0,,"Vigilance
At the beginning of your end step, you may pay {1}. If you do, create a 1/1 colorless Spirit creature token for each Shrine you control.",uncommon,Vigilance,Legendary,"Enchantment, Creature",Shrine
