,name,colors,manaValue,manaCost,power,toughness,loyalty,text,rarity,keywords,supertypes,types
0,Baffling End,W,2.0,{1}{W},,,,"When Baffling End enters the battlefield, exile target creature an opponent controls with mana value 3 or less.
When Baffling End leaves the battlefield, target opponent creates a 3/3 green Dinosaur creature token with trample.",uncommon,,,Enchantment
1,Bishop of Binding,W,4.0,{3}{W},1.0,1.0,,"When Bishop of Binding enters the battlefield, exile target creature an opponent controls until Bishop of Binding leaves the battlefield.
Whenever Bishop of Binding attacks, target Vampire gets +X/+X until end of turn, where X is the power of the exiled card.",rare,,,Creature
2,Blazing Hope,W,1.0,{W},,,,Exile target creature with power greater than or equal to your life total.,uncommon,,,Instant
3,Cleansing Ray,W,2.0,{1}{W},,,,"Choose one —
• Destroy target Vampire.
• Destroy target enchantment.",common,,,Sorcery
4,Divine Verdict,W,4.0,{3}{W},,,,Destroy target attacking or blocking creature.,common,,,Instant
5,Everdawn Champion,W,3.0,{1}{W}{W},2.0,2.0,,Prevent all combat damage that would be dealt to Everdawn Champion.,uncommon,,,Creature
6,Exultant Skymarcher,W,3.0,{1}{W}{W},2.0,3.0,,Flying,common,Flying,,Creature
7,Famished Paladin,W,2.0,{1}{W},3.0,3.0,,"Famished Paladin doesn't untap during your untap step.
Whenever you gain life, untap Famished Paladin.",uncommon,,,Creature
8,Forerunner of the Legion,W,3.0,{2}{W},2.0,2.0,,"When Forerunner of the Legion enters the battlefield, you may search your library for a Vampire card, reveal it, then shuffle and put that card on top.
Whenever another Vampire enters the battlefield under your control, target creature gets +1/+1 until end of turn.",uncommon,,,Creature
9,Imperial Ceratops,W,5.0,{4}{W},3.0,5.0,,"Enrage — Whenever Imperial Ceratops is dealt damage, you gain 2 life.",uncommon,Enrage,,Creature
10,Legion Conquistador,W,3.0,{2}{W},2.0,2.0,,"When Legion Conquistador enters the battlefield, you may search your library for any number of cards named Legion Conquistador, reveal them, put them into your hand, then shuffle.",common,,,Creature
11,Luminous Bonds,W,3.0,{2}{W},,,,"Enchant creature
Enchanted creature can't attack or block.",common,Enchant,,Enchantment
12,Majestic Heliopterus,W,4.0,{3}{W},2.0,2.0,,"Flying
Whenever Majestic Heliopterus attacks, another target Dinosaur you control gains flying until end of turn.",uncommon,Flying,,Creature
13,Martyr of Dusk,W,2.0,{1}{W},2.0,1.0,,"When Martyr of Dusk dies, create a 1/1 white Vampire creature token with lifelink.",common,,,Creature
14,Moment of Triumph,W,1.0,{W},,,,Target creature gets +2/+2 until end of turn. You gain 2 life.,common,,,Instant
15,Paladin of Atonement,W,2.0,{1}{W},1.0,1.0,,"At the beginning of each upkeep, if you lost life last turn, put a +1/+1 counter on Paladin of Atonement.
When Paladin of Atonement dies, you gain life equal to its toughness.",rare,,,Creature
16,Pride of Conquerors,W,2.0,{1}{W},,,,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.)
Creatures you control get +1/+1 until end of turn. If you have the city's blessing, those creatures get +2/+2 until end of turn instead.",uncommon,Ascend,,Instant
