,name,colors,manaValue,manaCost,power,toughness,loyalty,text,rarity,keywords,supertypes,types,subtypes
0,Always Watching,W,3.0,{1}{W}{W},,,,Nontoken creatures you control get +1/+1 and have vigilance.,rare,,,Enchantment,
1,Angel of Deliverance,W,8.0,{6}{W}{W},6.0,6.0,,"Flying
Delirium — Whenever Angel of Deliverance deals damage, if there are four or more card types among cards in your graveyard, exile target creature an opponent controls.",rare,"Delirium, Flying",,Creature,Angel
2,Angelic Purge,W,3.0,{2}{W},,,,"As an additional cost to cast this spell, sacrifice a permanent.
Exile target artifact, creature, or enchantment.",common,,,Sorcery,
3,Apothecary Geist,W,4.0,{3}{W},2.0,3.0,,"Flying
When Apothecary Geist enters the battlefield, if you control another Spirit, you gain 3 life.",common,Flying,,Creature,Spirit
4,Archangel Avacyn,W,5.0,{3}{W}{W},4.0,4.0,,"Flash
Flying, vigilance
When Archangel Avacyn enters the battlefield, creatures you control gain indestructible until end of turn.
When a non-Angel creature you control dies, transform Archangel Avacyn at the beginning of the next upkeep.",mythic,"Flash, Flying, Transform, Vigilance",Legendary,Creature,Angel
5,"Avacyn, the Purifier",R,5.0,,6.0,5.0,,"Flying
When this creature transforms into Avacyn, the Purifier, it deals 3 damage to each other creature and each opponent.",mythic,"Flying, Transform",Legendary,Creature,Angel
6,Avacynian Missionaries,W,4.0,{3}{W},3.0,3.0,,"At the beginning of your end step, if Avacynian Missionaries is equipped, transform it.",uncommon,Transform,,Creature,"Human, Cleric"
7,Lunarch Inquisitors,W,4.0,,4.0,4.0,,"When this creature transforms into Lunarch Inquisitors, you may exile another target creature until Lunarch Inquisitors leaves the battlefield.",uncommon,Transform,,Creature,"Human, Cleric"
8,Bound by Moonsilver,W,3.0,{2}{W},,,,"Enchant creature
Enchanted creature can't attack, block, or transform.
Sacrifice another permanent: Attach Bound by Moonsilver to target creature. Activate only as a sorcery and only once each turn.",uncommon,"Enchant, Transform",,Enchantment,Aura
9,Bygone Bishop,W,3.0,{2}{W},2.0,3.0,,"Flying
Whenever you cast a creature spell with mana value 3 or less, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")",rare,"Flying, Investigate",,Creature,"Spirit, Cleric"
10,Cathar's Companion,W,3.0,{2}{W},3.0,1.0,,"Whenever you cast a noncreature spell, Cathar's Companion gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",common,,,Creature,Dog
11,Chaplain's Blessing,W,1.0,{W},,,,You gain 5 life.,common,,,Sorcery,
