,name,colors,manaValue,manaCost,power,toughness,loyalty,text,rarity,keywords,supertypes,types,subtypes
0,Axgard Braggart,W,4.0,{3}{W},3.0,3.0,,Boast — {1}{W}: Untap Axgard Braggart. Put a +1/+1 counter on it. (Activate only if this creature attacked this turn and only once each turn.),common,Boast,,Creature,"Dwarf, Warrior"
1,Battershield Warrior,W,3.0,{2}{W},2.0,2.0,,Boast — {1}{W}: Creatures you control get +1/+1 until end of turn. (Activate only if this creature attacked this turn and only once each turn.),uncommon,Boast,,Creature,"Human, Warrior"
2,Battlefield Raptor,W,1.0,{W},1.0,2.0,,"Flying, first strike",common,"First strike, Flying",,Creature,Bird
3,Beskir Shieldmate,W,2.0,{1}{W},2.0,1.0,,"When Beskir Shieldmate dies, create a 1/1 white Human Warrior creature token.",common,,,Creature,"Human, Warrior"
4,Bound in Gold,W,3.0,{2}{W},,,,"Enchant permanent
Enchanted permanent can't attack, block, or crew Vehicles, and its activated abilities can't be activated unless they're mana abilities.",common,Enchant,,Enchantment,Aura
5,Clarion Spirit,W,2.0,{1}{W},2.0,2.0,,"Whenever you cast your second spell each turn, create a 1/1 white Spirit creature token with flying.",uncommon,,,Creature,Spirit
6,Codespell Cleric,W,1.0,{W},1.0,1.0,,"Vigilance
When Codespell Cleric enters the battlefield, if it was the second spell you cast this turn, put a +1/+1 counter on target creature.",common,Vigilance,,Creature,"Human, Cleric"
7,Divine Gambit,W,2.0,{W}{W},,,,"Exile target artifact, creature, or enchantment an opponent controls. That player may put a permanent card from their hand onto the battlefield.",uncommon,,,Sorcery,
8,Doomskar,W,5.0,{3}{W}{W},,,,"Destroy all creatures.
Foretell {1}{W}{W} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)",rare,Foretell,,Sorcery,
9,Doomskar Oracle,W,3.0,{2}{W},3.0,2.0,,"Whenever you cast your second spell each turn, you gain 2 life.
Foretell {W} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)",common,Foretell,,Creature,"Human, Cleric"
10,Giant Ox,W,2.0,{1}{W},0.0,6.0,,Giant Ox crews Vehicles using its toughness rather than its power.,common,,,Creature,Ox
11,Glorious Protector,W,4.0,{2}{W}{W},3.0,4.0,,"Flash
Flying
When Glorious Protector enters the battlefield, you may exile any number of non-Angel creatures you control until Glorious Protector leaves the battlefield.
Foretell {2}{W}",rare,"Flash, Flying, Foretell",,Creature,"Angel, Cleric"
12,Gods' Hall Guardian,W,6.0,{5}{W},3.0,6.0,,"Vigilance
Foretell {3}{W} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)",common,"Foretell, Vigilance",,Creature,Cat
13,Goldmaw Champion,W,3.0,{2}{W},2.0,3.0,,Boast — {1}{W}: Tap target creature. (Activate only if this creature attacked this turn and only once each turn.),common,Boast,,Creature,"Dwarf, Warrior"
14,"Halvar, God of Battle",W,4.0,{2}{W}{W},4.0,4.0,,"Creatures you control that are enchanted or equipped have double strike.
At the beginning of each combat, you may attach target Aura or Equipment attached to a creature you control to target creature you control.",mythic,Equip,Legendary,Creature,God
15,Sword of the Realms,W,2.0,{1}{W},,,,"Equipped creature gets +2/+0 and has vigilance.
Whenever equipped creature dies, return it to its owner's hand.
Equip {1}{W}",mythic,Equip,Legendary,Artifact,Equipment
16,Invoke the Divine,W,3.0,{2}{W},,,,Destroy target artifact or enchantment. You gain 4 life.,common,,,Instant,
17,Iron Verdict,W,3.0,{2}{W},,,,"Iron Verdict deals 5 damage to target tapped creature.
Foretell {W} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)",common,Foretell,,Instant,
18,Kaya's Onslaught,W,3.0,{2}{W},,,,"Target creature gets +1/+1 and gains double strike until end of turn.
Foretell {W} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)",uncommon,Foretell,,Instant,
19,Master Skald,W,5.0,{4}{W},4.0,4.0,,"When Master Skald enters the battlefield, you may exile a creature card from your graveyard. If you do, return target artifact or enchantment card from your graveyard to your hand.",common,,,Creature,"Dwarf, Warrior"
20,Rally the Ranks,W,2.0,{1}{W},,,,"As Rally the Ranks enters the battlefield, choose a creature type.
Creatures you control of the chosen type get +1/+1.",rare,,,Enchantment,
21,"Reidane, God of the Worthy",W,3.0,{2}{W},2.0,3.0,,"Flying, vigilance
Snow lands your opponents control enter the battlefield tapped.
Noncreature spells your opponents cast with mana value 4 or greater cost {2} more to cast.",rare,"Flying, Vigilance",Legendary,Creature,God
22,"Valkmira, Protector's Shield",W,4.0,{3}{W},,,,"If a source an opponent controls would deal damage to you or a permanent you control, prevent 1 of that damage.
Whenever you or another permanent you control becomes the target of a spell or ability an opponent controls, counter that spell or ability unless its controller pays {1}.",rare,,Legendary,Artifact,
23,Resplendent Marshal,W,3.0,{1}{W}{W},3.0,3.0,,"Flying
When Resplendent Marshal enters the battlefield or dies, you may exile another creature card from your graveyard. When you do, put a +1/+1 counter on each creature you control other than Resplendent Marshal that shares a creature type with the exiled card.",mythic,Flying,,Creature,"Angel, Warrior"
24,Revitalize,W,2.0,{1}{W},,,,"You gain 3 life.
Draw a card.",common,,,Instant,
25,Righteous Valkyrie,W,3.0,{2}{W},2.0,4.0,,"Flying
Whenever another Angel or Cleric enters the battlefield under your control, you gain life equal to that creature's toughness.
As long as you have at least 7 life more than your starting life total, creatures you control get +2/+2.",rare,Flying,,Creature,"Angel, Cleric"
26,Rune of Sustenance,W,2.0,{1}{W},,,,"Enchant permanent
When Rune of Sustenance enters the battlefield, draw a card.
As long as enchanted permanent is a creature, it has lifelink.
As long as enchanted permanent is an Equipment, it has ""Equipped creature has lifelink.""",uncommon,Enchant,,Enchantment,"Aura, Rune"
27,Runeforge Champion,W,3.0,{2}{W},2.0,3.0,,"When Runeforge Champion enters the battlefield, you may search your library and/or graveyard for a Rune card, reveal it, and put it into your hand. If you search your library this way, shuffle.
You may pay {1} rather than pay the mana cost for Rune spells you cast.",rare,,,Creature,"Dwarf, Warrior"
28,Search for Glory,W,3.0,{2}{W},,,,"Search your library for a snow permanent card, a legendary card, or a Saga card, reveal it, put it into your hand, then shuffle. You gain 1 life for each {S} spent to cast this spell. ({S} is mana from a snow source.)",rare,,Snow,Sorcery,
29,Shepherd of the Cosmos,W,6.0,{4}{W}{W},3.0,3.0,,"Flying
When Shepherd of the Cosmos enters the battlefield, return target permanent card with mana value 2 or less from your graveyard to the battlefield.
Foretell {3}{W} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)",uncommon,"Flying, Foretell",,Creature,"Angel, Warrior"
30,"Sigrid, God-Favored",W,3.0,{1}{W}{W},2.0,2.0,,"Flash
First strike, protection from God creatures
When Sigrid, God-Favored enters the battlefield, exile up to one target attacking or blocking creature until Sigrid leaves the battlefield.",rare,"First strike, Flash, Protection",Legendary,Creature,"Human, Warrior"
31,Spectral Steel,W,2.0,{1}{W},,,,"Enchant creature
Enchanted creature gets +2/+2.
{1}{W}, Exile Spectral Steel from your graveyard: Return another target Aura or Equipment card from your graveyard to your hand.",uncommon,Enchant,,Enchantment,Aura
32,Stalwart Valkyrie,W,4.0,{3}{W},3.0,2.0,,"You may pay {1}{W} and exile a creature card from your graveyard rather than pay this spell's mana cost.
Flying",common,Flying,,Creature,"Angel, Warrior"
33,Starnheim Courser,W,3.0,{2}{W},2.0,2.0,,"Flying
Artifact and enchantment spells you cast cost {1} less to cast.",common,Flying,,Creature,Pegasus
34,Starnheim Unleashed,W,4.0,{2}{W}{W},,,,"Create a 4/4 white Angel Warrior creature token with flying and vigilance. If this spell was foretold, create X of those tokens instead.
Foretell {X}{X}{W} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)",mythic,Foretell,,Sorcery,
35,Story Seeker,W,2.0,{1}{W},2.0,2.0,,Lifelink,common,Lifelink,,Creature,"Dwarf, Cleric"
36,Usher of the Fallen,W,1.0,{W},2.0,1.0,,Boast — {1}{W}: Create a 1/1 white Human Warrior creature token. (Activate only if this creature attacked this turn and only once each turn.),uncommon,Boast,,Creature,"Spirit, Warrior"
37,Valkyrie's Sword,W,2.0,{1}{W},,,,"When Valkyrie's Sword enters the battlefield, you may pay {4}{W}. If you do, create a 4/4 white Angel Warrior creature token with flying and vigilance, then attach Valkyrie's Sword to it.
Equipped creature gets +2/+1.
Equip {3}",uncommon,Equip,,Artifact,Equipment
38,Valor of the Worthy,W,1.0,{W},,,,"Enchant creature
Enchanted creature gets +1/+1.
When enchanted creature leaves the battlefield, create a 1/1 white Spirit creature token with flying.",common,Enchant,,Enchantment,Aura
39,Warhorn Blast,W,5.0,{4}{W},,,,"Creatures you control get +2/+1 until end of turn.
Foretell {2}{W} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)",common,Foretell,,Instant,
40,Wings of the Cosmos,W,1.0,{W},,,,Target creature gets +1/+3 and gains flying until end of turn. Untap it.,common,,,Instant,
41,"Alrund, God of the Cosmos",U,5.0,{3}{U}{U},1.0,1.0,,"Alrund gets +1/+1 for each card in your hand and each foretold card you own in exile.
At the beginning of your end step, choose a card type, then reveal the top two cards of your library. Put all cards of the chosen type revealed this way into your hand and the rest on the bottom of your library in any order.",mythic,,Legendary,Creature,God
42,"Hakka, Whispering Raven",U,2.0,{1}{U},2.0,3.0,,"Flying
Whenever Hakka, Whispering Raven deals combat damage to a player, return it to its owner's hand, then scry 2.",mythic,"Flying, Scry",Legendary,Creature,Bird
43,Alrund's Epiphany,U,7.0,{5}{U}{U},,,,"Create two 1/1 blue Bird creature tokens with flying. Take an extra turn after this one. Exile Alrund's Epiphany.
Foretell {4}{U}{U} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)",mythic,Foretell,,Sorcery,
44,Annul,U,1.0,{U},,,,Counter target artifact or enchantment spell.,common,,,Instant,
45,Ascendant Spirit,U,1.0,{U},1.0,1.0,,"{S}{S}: Ascendant Spirit becomes a Spirit Warrior with base power and toughness 2/3.
{S}{S}{S}: If Ascendant Spirit is a Warrior, put a flying counter on it and it becomes a Spirit Warrior Angel with base power and toughness 4/4.
{S}{S}{S}{S}: If Ascendant Spirit is an Angel, put two +1/+1 counters on it and it gains ""Whenever this creature deals combat damage to a player, draw a card.""",rare,,Snow,Creature,Spirit
46,Augury Raven,U,4.0,{3}{U},3.0,3.0,,"Flying
Foretell {1}{U} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)",common,"Flying, Foretell",,Creature,Bird
47,Avalanche Caller,U,2.0,{1}{U},1.0,3.0,,{2}: Target snow land you control becomes a 4/4 Elemental creature with hexproof and haste until end of turn. It's still a land. (A creature with hexproof can't be the target of spells or abilities your opponents control.),uncommon,,Snow,Creature,"Human, Wizard"
48,Behold the Multiverse,U,4.0,{3}{U},,,,"Scry 2, then draw two cards.
Foretell {1}{U} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)",common,"Foretell, Scry",,Instant,
49,Berg Strider,U,5.0,{4}{U},4.0,4.0,,"When Berg Strider enters the battlefield, tap target artifact or creature an opponent controls. If {S} was spent to cast this spell, that permanent doesn't untap during its controller's next untap step. ({S} is mana from a snow source.)",common,,Snow,Creature,"Giant, Wizard"
50,Bind the Monster,U,1.0,{U},,,,"Enchant creature
When Bind the Monster enters the battlefield, tap enchanted creature. It deals damage to you equal to its power.
Enchanted creature doesn't untap during its controller's untap step.",common,Enchant,,Enchantment,Aura
51,Brinebarrow Intruder,U,1.0,{U},1.0,2.0,,"Flash
When Brinebarrow Intruder enters the battlefield, target creature an opponent controls gets -2/-0 until end of turn.",common,Flash,,Creature,"Human, Rogue"
52,"Cosima, God of the Voyage",U,3.0,{2}{U},2.0,4.0,,"At the beginning of your upkeep, you may exile Cosima. If you do, it gains ""Whenever a land enters the battlefield under your control, if Cosima is exiled, you may put a voyage counter on it. If you don't, return Cosima to the battlefield with X +1/+1 counters on it and draw X cards, where X is the number of voyage counters on it.""",rare,,Legendary,Creature,God
