,name,colors,manaValue,manaCost,power,toughness,loyalty,text,rarity,keywords,supertypes,types,subtypes
0,Adaptive Shimmerer,C,5.0,{5},0.0,0.0,,"Flash
Adaptive Shimmerer enters the battlefield with three +1/+1 counters on it.",common,Flash,,Creature,Insect
1,Farfinder,C,3.0,{3},1.0,1.0,,"Vigilance
When Farfinder enters the battlefield, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle.",common,Vigilance,,Creature,Fox
2,Mysterious Egg,C,1.0,{1},0.0,2.0,,"Whenever this creature mutates, put a +1/+1 counter on it.",common,,,Creature,Egg
3,Blade Banish,W,4.0,{3}{W},,,,Exile target creature with power 4 or greater.,common,,,Instant,
4,Checkpoint Officer,W,2.0,{1}{W},1.0,2.0,,"{1}{W}, {T}: Tap target creature.",common,,,Creature,"Human, Soldier"
5,Coordinated Charge,W,5.0,{4}{W},,,,"Creatures you control get +2/+1 until end of turn.
Cycling {2} ({2}, Discard this card: Draw a card.)",common,Cycling,,Instant,
6,Cubwarden,W,4.0,{3}{W},3.0,5.0,,"Mutate {2}{W}{W} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Lifelink
Whenever this creature mutates, create two 1/1 white Cat creature tokens with lifelink.",rare,"Lifelink, Mutate",,Creature,Cat
7,Daysquad Marshal,W,4.0,{3}{W},3.0,3.0,,"When Daysquad Marshal enters the battlefield, create a 1/1 white Human Soldier creature token.",common,,,Creature,"Human, Soldier"
8,Divine Arrow,W,2.0,{1}{W},,,,Divine Arrow deals 4 damage to target attacking or blocking creature.,common,,,Instant,
9,Drannith Healer,W,2.0,{1}{W},2.0,2.0,,"Whenever you cycle another card, you gain 1 life.
Cycling {1} ({1}, Discard this card: Draw a card.)",common,Cycling,,Creature,"Human, Cleric"
10,Drannith Magistrate,W,2.0,{1}{W},1.0,3.0,,Your opponents can't cast spells from anywhere other than their hands.,rare,,,Creature,"Human, Wizard"
11,Fight as One,W,1.0,{W},,,,"Choose one or both —
• Target Human creature you control gets +1/+1 and gains indestructible until end of turn.
• Target non-Human creature you control gets +1/+1 and gains indestructible until end of turn.",uncommon,,,Instant,
12,Flourishing Fox,W,1.0,{W},1.0,1.0,,"Whenever you cycle another card, put a +1/+1 counter on Flourishing Fox.
Cycling {1} ({1}, Discard this card: Draw a card.)",uncommon,Cycling,,Creature,Fox
13,Garrison Cat,W,1.0,{W},1.0,1.0,,"When Garrison Cat dies, create a 1/1 white Human Soldier creature token.",common,,,Creature,Cat
14,Helica Glider,W,3.0,{2}{W},2.0,2.0,,Helica Glider enters the battlefield with your choice of a flying counter or a first strike counter on it.,common,,,Creature,"Nightmare, Squirrel"
15,Huntmaster Liger,W,4.0,{3}{W},3.0,4.0,,"Mutate {2}{W} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Whenever this creature mutates, other creatures you control get +X/+X until end of turn, where X is the number of times this creature has mutated.",uncommon,Mutate,,Creature,Cat
16,Imposing Vantasaur,W,6.0,{5}{W},3.0,6.0,,"Vigilance
Cycling {1} ({1}, Discard this card: Draw a card.)",common,"Cycling, Vigilance",,Creature,Dinosaur
17,Keensight Mentor,W,3.0,{2}{W},1.0,4.0,,"When Keensight Mentor enters the battlefield, put a vigilance counter on target non-Human creature you control.
{1}{W}, {T}: Put a +1/+1 counter on each creature you control with vigilance.",uncommon,,,Creature,"Human, Cleric"
18,Lavabrink Venturer,W,3.0,{2}{W},3.0,3.0,,"As Lavabrink Venturer enters the battlefield, choose odd or even. (Zero is even.)
Lavabrink Venturer has protection from each mana value of the chosen quality.",rare,,,Creature,"Human, Soldier"
19,Light of Hope,W,1.0,{W},,,,"Choose one —
• You gain 4 life.
• Destroy target enchantment.
• Put a +1/+1 counter on target creature.",common,,,Instant,
20,Luminous Broodmoth,W,4.0,{2}{W}{W},3.0,4.0,,"Flying
Whenever a creature you control without flying dies, return it to the battlefield under its owner's control with a flying counter on it.",mythic,Flying,,Creature,Insect
21,Majestic Auricorn,W,5.0,{4}{W},4.0,4.0,,"Mutate {3}{W} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Vigilance
Whenever this creature mutates, you gain 4 life.",uncommon,"Mutate, Vigilance",,Creature,Unicorn
22,Maned Serval,W,2.0,{1}{W},1.0,4.0,,Vigilance,common,Vigilance,,Creature,Cat
23,Mythos of Snapdax,W,4.0,{2}{W}{W},,,,"Each player chooses an artifact, a creature, an enchantment, and a planeswalker from among the nonland permanents they control, then sacrifices the rest. If {B}{R} was spent to cast this spell, you choose the permanents for each player instead.",rare,,,Sorcery,
24,Pacifism,W,2.0,{1}{W},,,,"Enchant creature
Enchanted creature can't attack or block.",common,Enchant,,Enchantment,Aura
25,Patagia Tiger,W,5.0,{4}{W},3.0,4.0,,"Flying
When Patagia Tiger enters the battlefield, target Human you control gets +2/+2 until end of turn.",common,Flying,,Creature,Cat
26,Perimeter Sergeant,W,3.0,{2}{W},3.0,2.0,,"Whenever Perimeter Sergeant attacks, other Humans you control get +1/+0 until end of turn.",common,,,Creature,"Human, Soldier"
27,Sanctuary Lockdown,W,3.0,{2}{W},,,,"Humans you control get +1/+1.
{2}, Tap two untapped Humans you control: Tap target creature an opponent controls.",uncommon,,,Enchantment,
28,Savai Sabertooth,W,2.0,{1}{W},3.0,1.0,,,common,,,Creature,Cat
29,Snare Tactician,W,3.0,{2}{W},2.0,3.0,,"Whenever you cycle a card, tap target creature an opponent controls.",common,,,Creature,"Human, Soldier"
30,Solid Footing,W,1.0,{W},,,,"Flash
Enchant creature
Enchanted creature gets +1/+1.
As long as enchanted creature has vigilance, it assigns combat damage equal to its toughness rather than its power.",common,"Enchant, Flash",,Enchantment,Aura
31,Splendor Mare,W,3.0,{2}{W},3.0,3.0,,"Lifelink
Cycling {1}{W} ({1}{W}, Discard this card: Draw a card.)
When you cycle Splendor Mare, put a lifelink counter on target creature you control.",uncommon,"Cycling, Lifelink",,Creature,"Elk, Unicorn"
32,Spontaneous Flight,W,3.0,{2}{W},,,,Target creature gets +2/+2 until end of turn. Put a flying counter on it.,common,,,Instant,
33,Stormwild Capridor,W,3.0,{2}{W},1.0,3.0,,"Flying
If noncombat damage would be dealt to Stormwild Capridor, prevent that damage. Put a +1/+1 counter on Stormwild Capridor for each 1 damage prevented this way.",uncommon,Flying,,Creature,"Bird, Goat"
34,Swallow Whole,W,1.0,{W},,,,"As an additional cost to cast this spell, tap an untapped creature you control.
Exile target tapped creature. Put a +1/+1 counter on the creature tapped to pay this spell's additional cost.",uncommon,,,Sorcery,
35,Valiant Rescuer,W,2.0,{1}{W},3.0,1.0,,"Whenever you cycle another card for the first time each turn, create a 1/1 white Human Soldier creature token.
Cycling {2} ({2}, Discard this card: Draw a card.)",uncommon,Cycling,,Creature,"Human, Soldier"
36,Vulpikeet,W,4.0,{3}{W},2.0,3.0,,"Mutate {2}{W} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Flying
Whenever this creature mutates, put a +1/+1 counter on it.",common,"Flying, Mutate",,Creature,"Fox, Bird"
37,Will of the All-Hunter,W,2.0,{1}{W},,,,"Target creature gets +2/+2 until end of turn. If it's blocking, instead put two +1/+1 counters on it.
Cycling {2} ({2}, Discard this card: Draw a card.)",uncommon,Cycling,,Instant,
38,Aegis Turtle,U,1.0,{U},0.0,5.0,,,common,,,Creature,Turtle
39,Anticipate,U,2.0,{1}{U},,,,Look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.,common,,,Instant,
